CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
run, 32, 23, 12, 16, 19, 2, 8, 4, 1, 0, 0, 100, 100, 100, 76, 59, 53, 28, 1002218, 1 
run, 33, 51, 100, 61, 14, 19, 20, 7, 6, 0, 0, 100, 100, 100, 74, 95, 100, 70, 1003293, 2 
run, 29, 57, 98, 33, 37, 13, 10, 11, 11, 0, 0, 100, 100, 100, 76, 81, 94, 63, 1004369, 3 
run, 28, 48, 100, 48, 13, 11, 23, 14, 19, 0, 0, 100, 100, 100, 80, 85, 86, 60, 1005447, 4 
run, 25, 39, 87, 49, 22, 24, 22, 12, 4, 0, 0, 100, 100, 100, 86, 96, 94, 63, 1006568, 5 
run, 22, 38, 80, 38, 31, 13, 22, 19, 4, 0, 0, 100, 100, 100, 82, 92, 95, 63, 1007648, 6 
run, 31, 70, 100, 90, 20, 10, 21, 18, 11, 0, 0, 100, 100, 100, 87, 97, 91, 61, 1008731, 7 
run, 30, 24, 42, 17, 11, 18, 15, 13, 8, 0, 0, 100, 100, 100, 92, 97, 95, 61, 1009852, 8 
run, 41, 62, 86, 51, 9, 23, 16, 5, 8, 0, 0, 100, 100, 100, 94, 87, 82, 58, 1010938, 9 
run, 33, 37, 70, 28, 22, 7, 15, 16, 7, 0, 0, 100, 100, 100, 90, 85, 88, 59, 1012024, 10 
run, 32, 41, 65, 47, 14, 5, 10, 12, 15, 0, 0, 100, 100, 100, 90, 80, 88, 63, 1013153, 11 
run, 35, 80, 100, 80, 18, 8, 13, 7, 13, 0, 0, 100, 100, 100, 86, 74, 83, 66, 1014243, 12 
run, 28, 69, 100, 73, 22, 23, 14, 12, 10, 0, 0, 100, 100, 100, 88, 78, 80, 70, 1015302, 13 
run, 26, 100, 100, 61, 11, 19, 9, 14, 14, 0, 0, 100, 100, 100, 93, 73, 71, 67, 1016396, 14 
run, 29, 100, 100, 59, 14, 16, 9, 10, 6, 0, 0, 100, 100, 100, 97, 75, 70, 65, 1017443, 15 
run, 32, 39, 83, 30, 22, 14, 2, 6, 7, 0, 0, 100, 100, 100, 100, 72, 70, 65, 1018458, 16 
run, 41, 41, 43, 35, 31, 15, 10, 21, 10, 0, 0, 100, 100, 100, 100, 83, 94, 66, 1019559, 17 
run, 33, 38, 76, 71, 18, 11, 7, 5, 8, 0, 0, 100, 100, 100, 100, 95, 100, 77, 1020578, 18 
run, 35, 41, 100, 100, 11, 24, 13, 12, 10, 0, 0, 100, 100, 100, 100, 97, 100, 97, 1021594, 19 
run, 39, 48, 97, 55, 17, 23, 13, 10, 17, 0, 0, 100, 100, 100, 96, 100, 100, 100, 1022698, 20 
run, 27, 36, 100, 82, 12, 19, 16, 8, 12, 0, 0, 100, 100, 100, 88, 100, 100, 100, 1023720, 21 
run, 25, 36, 100, 57, 49, 29, 20, 24, 5, 0, 0, 100, 100, 100, 86, 100, 100, 100, 1024741, 22 
