CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
run, 24, 21, 48, 50, 12, 11, 13, 22, 16, 0, 0, 100, 100, 100, 98, 99, 100, 100, 1152687, 1 
run, 32, 33, 100, 100, 27, 13, 14, 12, 6, 0, 0, 100, 100, 100, 89, 99, 100, 91, 1153773, 2 
run, 30, 22, 79, 85, 19, 17, 7, 14, 3, 0, 0, 100, 100, 100, 87, 91, 100, 88, 1154900, 3 
run, 34, 27, 100, 92, 21, 11, 18, 13, 7, 0, 0, 100, 100, 100, 87, 84, 90, 71, 1155989, 4 
run, 24, 31, 100, 97, 12, 4, 10, 9, 5, 0, 0, 100, 100, 100, 84, 86, 81, 60, 1157078, 5 
run, 31, 30, 95, 60, 13, 7, 13, 15, 17, 0, 0, 100, 100, 100, 75, 85, 74, 56, 1158169, 6 
run, 30, 45, 100, 100, 21, 22, 13, 15, 15, 0, 0, 100, 100, 100, 75, 80, 80, 59, 1159172, 7 
run, 27, 46, 100, 100, 40, 13, 8, 8, 2, 0, 0, 100, 100, 100, 81, 78, 77, 61, 1160266, 8 
run, 27, 28, 71, 39, 12, 13, 5, 10, 6, 0, 0, 100, 100, 100, 85, 79, 87, 60, 1161271, 9 
run, 26, 21, 58, 49, 23, 12, 5, 4, 4, 0, 0, 100, 100, 100, 84, 76, 91, 65, 1162367, 10 
run, 38, 18, 100, 95, 25, 26, 9, 12, 14, 0, 0, 100, 100, 100, 85, 81, 86, 74, 1163466, 11 
run, 20, 37, 100, 98, 15, 9, 16, 17, 11, 0, 0, 100, 100, 100, 82, 84, 88, 78, 1164473, 12 
run, 29, 22, 61, 48, 28, 23, 25, 16, 5, 0, 0, 100, 100, 100, 81, 83, 83, 85, 1165573, 13 
run, 26, 44, 100, 89, 8, 8, 13, 6, 12, 0, 0, 100, 100, 100, 82, 91, 98, 83, 1166584, 14 
run, 39, 35, 95, 85, 18, 18, 7, 15, 14, 0, 0, 100, 100, 100, 83, 88, 100, 86, 1167689, 15 
run, 31, 37, 100, 100, 30, 17, 31, 28, 6, 0, 0, 100, 100, 100, 91, 90, 100, 83, 1168707, 16 
run, 30, 34, 100, 100, 35, 10, 11, 10, 19, 0, 0, 100, 100, 100, 90, 92, 100, 89, 1169814, 17 
run, 34, 32, 50, 37, 10, 7, 7, 7, 10, 0, 0, 100, 100, 100, 92, 83, 100, 87, 1170871, 18 
run, 39, 42, 100, 100, 12, 13, 11, 17, 19, 0, 0, 100, 100, 100, 90, 83, 99, 90, 1171891, 19 
run, 34, 25, 53, 36, 22, 16, 4, 12, 10, 0, 0, 100, 100, 100, 85, 77, 97, 100, 1173004, 20 
run, 35, 44, 100, 100, 18, 24, 10, 13, 4, 0, 0, 100, 100, 100, 83, 66, 92, 100, 1174027, 21 
run, 35, 39, 41, 27, 22, 28, 14, 12, 9, 0, 0, 100, 100, 100, 89, 82, 100, 95, 1175058, 22 
run, 38, 30, 71, 87, 37, 13, 11, 11, 12, 0, 0, 100, 100, 100, 92, 77, 100, 83, 1176184, 23 
run, 37, 36, 74, 56, 15, 16, 12, 5, 14, 0, 0, 100, 100, 100, 97, 87, 100, 72, 1177215, 24 
run, 37, 25, 62, 43, 32, 27, 20, 23, 10, 0, 0, 100, 100, 100, 94, 88, 92, 64, 1178254, 25 
run, 31, 22, 83, 77, 28, 22, 12, 5, 2, 0, 0, 100, 100, 100, 93, 81, 89, 69, 1179298, 26 
run, 28, 41, 76, 50, 23, 20, 21, 14, 3, 0, 0, 100, 100, 100, 100, 89, 95, 69, 1180299, 27 
run, 27, 30, 75, 51, 21, 13, 11, 19, 4, 0, 0, 100, 100, 100, 93, 83, 94, 70, 1181345, 28 
run, 28, 24, 64, 51, 24, 28, 18, 12, 8, 0, 0, 100, 100, 100, 98, 83, 100, 71, 1182389, 29 
run, 26, 33, 100, 96, 24, 10, 5, 12, 7, 0, 0, 100, 100, 100, 89, 83, 96, 69, 1183437, 30 
run, 26, 36, 100, 78, 9, 7, 19, 13, 16, 0, 0, 100, 100, 100, 80, 79, 96, 66, 1184488, 31 
run, 30, 37, 84, 61, 11, 20, 12, 3, 7, 0, 0, 100, 100, 100, 86, 88, 98, 64, 1185539, 32 
run, 32, 53, 100, 72, 27, 13, 10, 15, 7, 0, 0, 100, 100, 100, 85, 84, 81, 61, 1186592, 33 
run, 31, 36, 100, 82, 21, 17, 7, 6, 8, 0, 0, 100, 100, 100, 100, 87, 79, 56, 1187648, 34 
run, 28, 18, 100, 100, 34, 11, 3, 5, 3, 0, 0, 100, 100, 100, 100, 88, 76, 58, 1188703, 35 
run, 42, 30, 89, 82, 31, 7, 26, 27, 14, 0, 0, 100, 100, 100, 99, 86, 88, 64, 1189758, 36 
run, 30, 23, 45, 56, 26, 8, 12, 5, 8, 0, 0, 100, 100, 100, 94, 89, 97, 73, 1190817, 37 
run, 29, 25, 100, 80, 13, 17, 17, 19, 5, 0, 0, 100, 100, 100, 100, 87, 100, 88, 1191876, 38 
run, 27, 28, 26, 21, 11, 4, 15, 21, 10, 0, 0, 100, 100, 100, 97, 88, 100, 99, 1192938, 39 
run, 28, 31, 100, 100, 22, 12, 34, 33, 25, 0, 0, 100, 100, 100, 96, 82, 100, 100, 1194000, 40 
run, 27, 22, 76, 56, 17, 10, 11, 9, 13, 0, 0, 100, 100, 100, 86, 88, 100, 100, 1195064, 41 
