CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
run, 35, 39, 66, 66, 39, 21, 7, 12, 25, 0, 0, 100, 100, 100, 91, 78, 100, 100, 1244451, 1 
run, 31, 18, 66, 47, 13, 17, 18, 5, 11, 0, 0, 100, 100, 100, 75, 50, 57, 47, 1245539, 2 
run, 34, 44, 100, 84, 14, 31, 19, 4, 6, 0, 0, 100, 100, 100, 86, 66, 57, 47, 1246632, 3 
run, 36, 29, 68, 64, 20, 16, 23, 13, 20, 0, 0, 100, 100, 100, 85, 86, 70, 55, 1247633, 4 
run, 29, 38, 100, 100, 33, 14, 6, 2, 8, 0, 0, 100, 100, 100, 95, 99, 94, 61, 1248729, 5 
run, 36, 55, 100, 100, 17, 7, 13, 26, 8, 0, 0, 100, 100, 100, 96, 97, 94, 56, 1249826, 6 
run, 34, 36, 85, 59, 29, 12, 15, 10, 8, 0, 0, 100, 100, 100, 97, 100, 100, 76, 1250835, 7 
run, 27, 36, 61, 48, 20, 9, 16, 18, 7, 0, 0, 100, 100, 100, 83, 95, 100, 89, 1251934, 8 
run, 36, 35, 79, 57, 8, 8, 4, 6, 7, 0, 0, 100, 100, 100, 84, 100, 100, 100, 1253034, 9 
run, 35, 41, 100, 100, 40, 11, 18, 20, 22, 0, 0, 100, 100, 100, 75, 100, 100, 100, 1254046, 10 
run, 23, 31, 68, 68, 26, 23, 8, 21, 12, 0, 0, 100, 100, 100, 82, 100, 100, 100, 1255150, 11 
run, 22, 28, 100, 88, 38, 17, 17, 27, 7, 0, 0, 100, 100, 100, 83, 100, 100, 100, 1256164, 12 
run, 34, 49, 100, 100, 22, 18, 16, 22, 24, 0, 0, 100, 100, 100, 75, 97, 100, 100, 1257272, 13 
run, 42, 39, 80, 50, 25, 18, 17, 26, 22, 0, 0, 100, 100, 98, 76, 98, 100, 100, 1258290, 14 
run, 25, 21, 37, 37, 17, 9, 8, 10, 14, 0, 0, 100, 100, 100, 72, 100, 100, 100, 1259403, 15 
run, 34, 29, 100, 100, 8, 15, 6, 16, 12, 0, 0, 100, 100, 95, 72, 100, 100, 100, 1260426, 16 
run, 24, 18, 47, 37, 11, 15, 13, 3, 12, 0, 0, 100, 100, 97, 75, 95, 100, 97, 1261540, 17 
run, 47, 57, 85, 34, 19, 12, 10, 6, 3, 0, 0, 100, 100, 100, 75, 92, 100, 100, 1262566, 18 
run, 26, 29, 52, 31, 18, 15, 14, 7, 16, 0, 0, 100, 100, 100, 84, 89, 100, 97, 1263681, 19 
run, 41, 22, 34, 30, 26, 15, 12, 18, 23, 0, 0, 100, 100, 100, 92, 90, 94, 94, 1264711, 20 
run, 28, 42, 100, 85, 34, 24, 23, 9, 20, 0, 0, 100, 100, 100, 94, 95, 84, 88, 1265742, 21 
run, 29, 68, 100, 100, 46, 20, 15, 7, 12, 0, 0, 100, 100, 100, 94, 88, 69, 82, 1266863, 22 
run, 28, 32, 76, 57, 22, 4, 15, 19, 4, 0, 0, 100, 100, 100, 95, 84, 69, 79, 1267903, 23 
run, 32, 40, 55, 45, 9, 7, 3, 10, 2, 0, 0, 100, 100, 100, 89, 92, 100, 85, 1268944, 24 
run, 33, 31, 100, 84, 17, 12, 22, 30, 15, 0, 0, 100, 100, 100, 88, 98, 100, 99, 1269983, 25 
run, 34, 35, 86, 54, 11, 8, 10, 4, 10, 0, 0, 100, 100, 100, 82, 100, 100, 100, 1270989, 26 
run, 34, 29, 58, 21, 27, 19, 37, 41, 25, 0, 0, 100, 100, 100, 75, 100, 100, 100, 1272033, 27 
run, 24, 32, 66, 29, 31, 9, 5, 17, 18, 0, 0, 100, 100, 100, 73, 100, 100, 100, 1273085, 28 
run, 33, 23, 44, 32, 16, 8, 21, 32, 10, 0, 0, 100, 100, 100, 71, 99, 100, 100, 1274137, 29 
run, 27, 29, 81, 46, 26, 23, 16, 6, 10, 0, 0, 100, 100, 100, 76, 100, 100, 100, 1275191, 30 
run, 28, 33, 100, 100, 36, 15, 3, 7, 7, 0, 0, 100, 100, 100, 77, 92, 100, 100, 1276248, 31 
run, 36, 26, 100, 100, 24, 18, 22, 26, 21, 0, 0, 100, 100, 100, 75, 96, 100, 100, 1277306, 32 
run, 35, 40, 94, 82, 17, 11, 14, 26, 27, 0, 0, 100, 100, 100, 78, 95, 100, 100, 1278364, 33 
run, 32, 29, 53, 52, 12, 11, 9, 19, 10, 0, 0, 100, 100, 100, 73, 90, 100, 100, 1279424, 34 
run, 27, 27, 100, 76, 27, 15, 8, 7, 10, 0, 0, 100, 100, 100, 77, 100, 100, 100, 1280488, 35 
run, 30, 33, 96, 39, 43, 19, 18, 14, 9, 0, 0, 100, 100, 100, 84, 100, 100, 100, 1281552, 36 
