CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
stand, 33, 26, 43, 37, 11, 4, 8, 6, 4, 0, 0, 100, 100, 100, 73, 55, 38, 25, 792656, 1 
stand, 29, 24, 34, 45, 23, 7, 5, 2, 4, 0, 0, 100, 100, 100, 57, 43, 33, 22, 793767, 2 
stand, 30, 24, 41, 52, 27, 18, 19, 18, 12, 0, 0, 100, 100, 100, 67, 45, 45, 27, 794838, 3 
stand, 23, 23, 40, 44, 10, 10, 10, 8, 2, 0, 0, 100, 100, 100, 100, 81, 77, 51, 795911, 4 
stand, 26, 26, 46, 32, 43, 4, 7, 7, 4, 0, 0, 100, 100, 100, 100, 94, 89, 61, 796985, 5 
stand, 35, 28, 61, 34, 26, 8, 9, 9, 6, 0, 0, 100, 100, 100, 100, 90, 93, 68, 798101, 6 
stand, 18, 21, 62, 78, 34, 9, 5, 6, 2, 0, 0, 100, 100, 100, 100, 74, 75, 61, 799176, 7 
stand, 36, 30, 40, 74, 27, 10, 5, 5, 5, 0, 0, 100, 100, 100, 100, 44, 44, 42, 800255, 8 
stand, 32, 22, 44, 36, 19, 6, 5, 1, 7, 0, 0, 100, 100, 100, 100, 44, 42, 45, 801375, 9 
stand, 30, 24, 35, 41, 19, 3, 7, 6, 5, 0, 0, 100, 100, 100, 100, 50, 39, 40, 802455, 10 
stand, 31, 25, 8, 9, 9, 5, 1, 8, 6, 0, 0, 100, 100, 100, 100, 52, 43, 36, 803571, 11 
stand, 26, 21, 17, 24, 12, 12, 4, 3, 2, 0, 0, 100, 100, 100, 93, 43, 42, 32, 804648, 12 
stand, 15, 13, 13, 22, 12, 3, 7, 2, 2, 0, 0, 100, 100, 100, 94, 50, 45, 30, 805726, 13 
stand, 27, 21, 42, 30, 16, 12, 8, 9, 10, 0, 0, 100, 100, 100, 87, 49, 46, 30, 806848, 14 
stand, 32, 29, 80, 77, 16, 10, 9, 11, 10, 0, 0, 100, 100, 100, 79, 52, 50, 33, 807932, 15 
stand, 36, 26, 27, 44, 31, 10, 9, 5, 8, 0, 0, 100, 100, 100, 77, 60, 51, 33, 808934, 16 
stand, 32, 23, 53, 100, 72, 12, 7, 4, 4, 0, 0, 100, 100, 100, 65, 72, 59, 34, 809936, 17 
stand, 17, 18, 40, 28, 7, 4, 8, 2, 2, 0, 0, 100, 100, 100, 81, 81, 69, 41, 811025, 18 
