CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
stand, 27, 22, 52, 64, 22, 9, 5, 6, 2, 0, 0, 100, 100, 100, 50, 35, 30, 21, 874628, 1 
stand, 42, 32, 82, 39, 29, 5, 4, 5, 6, 0, 0, 100, 100, 100, 80, 64, 72, 38, 875698, 2 
stand, 40, 26, 22, 19, 7, 15, 15, 8, 12, 0, 0, 100, 100, 100, 88, 70, 68, 35, 876771, 3 
stand, 22, 25, 78, 71, 7, 11, 5, 7, 7, 0, 0, 100, 100, 100, 100, 95, 72, 39, 877844, 4 
stand, 33, 24, 54, 38, 10, 2, 7, 8, 10, 0, 0, 100, 100, 100, 100, 88, 69, 39, 878920, 5 
stand, 29, 23, 35, 27, 3, 9, 6, 8, 4, 0, 0, 100, 100, 100, 100, 89, 69, 37, 880038, 6 
stand, 42, 31, 12, 40, 34, 13, 11, 3, 6, 0, 0, 100, 100, 100, 81, 65, 52, 27, 881118, 7 
stand, 27, 29, 100, 100, 49, 14, 8, 5, 3, 0, 0, 100, 100, 100, 66, 61, 52, 23, 882199, 8 
stand, 30, 22, 27, 25, 18, 7, 10, 3, 9, 0, 0, 100, 100, 100, 64, 68, 59, 31, 883323, 9 
stand, 32, 28, 89, 100, 17, 9, 11, 16, 4, 0, 0, 100, 100, 100, 78, 76, 62, 38, 884407, 10 
stand, 37, 24, 76, 28, 31, 12, 9, 4, 7, 0, 0, 100, 100, 100, 87, 76, 59, 37, 885527, 11 
stand, 34, 24, 31, 25, 3, 1, 8, 5, 7, 0, 0, 100, 100, 100, 76, 71, 55, 34, 886607, 12 
stand, 35, 29, 53, 34, 21, 11, 10, 4, 2, 0, 0, 100, 100, 100, 82, 76, 54, 27, 887729, 13 
stand, 34, 25, 62, 59, 38, 10, 5, 2, 7, 0, 0, 100, 100, 100, 72, 73, 51, 23, 888813, 14 
stand, 23, 35, 100, 73, 4, 2, 8, 8, 5, 0, 0, 100, 100, 100, 73, 74, 55, 24, 889814, 15 
stand, 29, 35, 81, 60, 10, 10, 12, 15, 12, 0, 0, 100, 100, 100, 74, 72, 59, 25, 890903, 16 
stand, 30, 21, 34, 24, 21, 5, 3, 8, 5, 0, 0, 100, 100, 100, 89, 62, 63, 34, 891906, 17 
stand, 16, 20, 38, 57, 27, 8, 7, 11, 3, 0, 0, 100, 100, 100, 95, 65, 72, 43, 892999, 18 
stand, 33, 28, 48, 41, 15, 2, 6, 4, 4, 0, 0, 100, 100, 100, 97, 81, 93, 53, 894065, 19 
stand, 28, 27, 34, 37, 13, 11, 10, 9, 6, 0, 0, 100, 100, 100, 96, 76, 85, 51, 895164, 20 
stand, 41, 30, 39, 9, 28, 15, 2, 8, 7, 0, 0, 100, 100, 100, 83, 75, 76, 45, 896264, 21 
stand, 34, 45, 100, 100, 12, 13, 2, 4, 6, 0, 0, 100, 100, 100, 76, 61, 61, 37, 897283, 22 
stand, 37, 35, 80, 79, 32, 12, 11, 1, 7, 0, 0, 100, 100, 100, 65, 40, 39, 31, 898395, 23 
stand, 30, 22, 55, 51, 25, 8, 4, 2, 5, 0, 0, 100, 100, 100, 70, 43, 46, 36, 899418, 24 
stand, 27, 30, 97, 90, 29, 8, 6, 4, 9, 0, 0, 100, 100, 100, 67, 45, 42, 36, 900441, 25 
stand, 30, 23, 14, 9, 7, 4, 5, 6, 8, 0, 0, 100, 100, 100, 71, 58, 37, 36, 901468, 26 
stand, 30, 28, 70, 53, 12, 19, 15, 18, 11, 0, 0, 100, 100, 100, 96, 84, 50, 36, 902494, 27 
stand, 30, 23, 9, 19, 22, 9, 12, 7, 9, 0, 0, 100, 100, 100, 100, 100, 64, 38, 903610, 28 
stand, 32, 28, 100, 100, 40, 15, 6, 5, 6, 0, 0, 100, 100, 100, 100, 100, 78, 41, 904642, 29 
stand, 27, 35, 63, 42, 10, 4, 11, 9, 5, 0, 0, 100, 100, 100, 100, 100, 78, 45, 905674, 30 
stand, 25, 23, 57, 75, 28, 7, 12, 10, 6, 0, 0, 100, 100, 100, 100, 100, 93, 52, 906706, 31 
stand, 29, 22, 20, 37, 26, 17, 8, 2, 5, 0, 0, 100, 100, 100, 100, 100, 95, 55, 907741, 32 
stand, 24, 25, 62, 69, 29, 9, 6, 2, 2, 0, 0, 100, 100, 100, 97, 100, 95, 54, 908783, 33 
stand, 26, 21, 7, 14, 6, 11, 4, 4, 4, 0, 0, 100, 100, 100, 89, 86, 96, 51, 909827, 34 
stand, 30, 25, 13, 20, 21, 9, 13, 9, 5, 0, 0, 100, 100, 100, 77, 68, 74, 43, 910873, 35 
stand, 26, 25, 30, 23, 14, 13, 7, 11, 4, 0, 0, 100, 100, 100, 70, 81, 73, 35, 911919, 36 
stand, 26, 21, 53, 48, 19, 11, 3, 9, 9, 0, 0, 100, 100, 100, 72, 90, 79, 35, 912969, 37 
stand, 33, 25, 51, 45, 24, 9, 7, 4, 8, 0, 0, 100, 100, 100, 93, 100, 88, 45, 914020, 38 
