CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
squat, 28, 29, 100, 87, 13, 12, 18, 13, 16, 0, 0, 100, 100, 100, 100, 96, 100, 100, 1940441, 1 
squat, 35, 39, 97, 69, 27, 25, 20, 7, 6, 0, 0, 100, 100, 100, 86, 64, 51, 29, 1941470, 2 
squat, 29, 39, 77, 34, 15, 20, 14, 9, 4, 0, 0, 100, 100, 100, 100, 93, 66, 51, 1942592, 3 
squat, 33, 31, 82, 88, 23, 18, 21, 20, 15, 0, 0, 100, 100, 100, 100, 100, 90, 74, 1943716, 4 
squat, 27, 19, 42, 38, 13, 12, 11, 19, 19, 0, 0, 100, 100, 100, 100, 100, 100, 100, 1944842, 5 
squat, 34, 21, 100, 67, 33, 16, 10, 10, 5, 0, 0, 100, 100, 100, 100, 100, 100, 100, 1945876, 6 
squat, 28, 47, 100, 70, 15, 14, 47, 32, 12, 0, 0, 100, 100, 100, 100, 100, 100, 95, 1947006, 7 
squat, 29, 21, 68, 66, 26, 6, 5, 6, 8, 0, 0, 100, 100, 100, 100, 100, 100, 100, 1948137, 8 
squat, 27, 26, 50, 38, 22, 15, 32, 27, 5, 0, 0, 100, 100, 100, 100, 100, 100, 97, 1949176, 9 
squat, 37, 34, 62, 47, 37, 12, 12, 13, 12, 0, 0, 100, 100, 100, 100, 100, 100, 94, 1950309, 10 
squat, 22, 34, 51, 25, 21, 17, 31, 17, 6, 0, 0, 100, 100, 100, 100, 100, 100, 92, 1951352, 11 
squat, 35, 28, 40, 46, 15, 9, 10, 6, 4, 0, 0, 100, 100, 100, 100, 100, 100, 91, 1952487, 12 
squat, 33, 28, 64, 70, 32, 31, 20, 15, 22, 0, 0, 100, 100, 100, 100, 100, 100, 89, 1953530, 13 
squat, 35, 22, 100, 87, 8, 14, 12, 22, 16, 0, 0, 100, 100, 100, 100, 100, 100, 96, 1954537, 14 
squat, 28, 62, 100, 100, 33, 12, 9, 5, 1, 0, 0, 100, 100, 100, 100, 100, 100, 91, 1955588, 15 
squat, 23, 31, 100, 89, 69, 27, 11, 19, 6, 0, 0, 100, 100, 100, 100, 100, 100, 88, 1956597, 16 
squat, 33, 33, 33, 16, 6, 10, 17, 8, 13, 0, 0, 100, 100, 100, 100, 100, 100, 88, 1957647, 17 
squat, 23, 23, 38, 78, 63, 26, 5, 5, 9, 0, 0, 100, 100, 100, 100, 100, 100, 90, 1958660, 18 
squat, 29, 26, 100, 67, 35, 33, 26, 11, 16, 0, 0, 100, 100, 100, 100, 100, 100, 92, 1959715, 19 
squat, 26, 45, 92, 77, 34, 25, 27, 9, 8, 0, 0, 100, 100, 100, 100, 100, 100, 99, 1960771, 20 
squat, 34, 45, 100, 67, 13, 15, 5, 19, 21, 0, 0, 100, 100, 100, 100, 100, 100, 92, 1961789, 21 
squat, 37, 29, 100, 100, 25, 17, 14, 16, 11, 0, 0, 100, 100, 100, 100, 100, 100, 97, 1962854, 22 
squat, 24, 29, 97, 67, 10, 9, 22, 16, 14, 0, 0, 100, 100, 100, 100, 100, 100, 96, 1963920, 23 
squat, 29, 27, 42, 47, 13, 13, 7, 7, 11, 0, 0, 100, 100, 100, 100, 100, 100, 94, 1964988, 24 
squat, 43, 30, 47, 44, 11, 18, 25, 29, 9, 0, 0, 100, 100, 100, 100, 100, 100, 99, 1966022, 25 
squat, 38, 24, 35, 32, 13, 11, 2, 7, 10, 0, 0, 100, 100, 100, 100, 100, 100, 99, 1967095, 26 
squat, 31, 35, 53, 18, 22, 16, 21, 16, 16, 0, 0, 100, 100, 100, 100, 100, 100, 99, 1968168, 27 
squat, 32, 26, 95, 86, 20, 9, 12, 18, 13, 0, 0, 100, 100, 100, 100, 100, 100, 100, 1969247, 28 
squat, 31, 38, 42, 24, 14, 11, 15, 16, 14, 0, 0, 100, 100, 100, 100, 100, 100, 100, 1970330, 29 
squat, 35, 44, 95, 59, 11, 16, 7, 8, 8, 0, 0, 100, 100, 100, 100, 100, 100, 100, 1971413, 30 
squat, 41, 23, 47, 41, 13, 11, 6, 13, 12, 0, 0, 100, 100, 100, 100, 100, 100, 90, 1972498, 31 
squat, 24, 19, 100, 100, 13, 10, 10, 8, 13, 0, 0, 100, 100, 100, 100, 100, 100, 93, 1973584, 32 
squat, 29, 24, 71, 34, 15, 13, 27, 28, 5, 0, 0, 100, 100, 100, 100, 100, 100, 87, 1974672, 33 
squat, 31, 22, 30, 30, 24, 12, 10, 18, 11, 0, 0, 100, 100, 100, 100, 100, 100, 96, 1975764, 34 
squat, 30, 74, 100, 70, 26, 30, 37, 31, 15, 0, 0, 100, 100, 100, 100, 100, 100, 94, 1976857, 35 
squat, 25, 23, 37, 49, 27, 23, 25, 26, 4, 0, 0, 100, 100, 100, 100, 100, 100, 87, 1977951, 36 
squat, 28, 27, 39, 43, 27, 16, 11, 11, 5, 0, 0, 100, 100, 100, 100, 100, 100, 87, 1979044, 37 
