CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
jump, 27, 31, 100, 100, 13, 24, 16, 6, 7, 0, 0, 100, 100, 100, 100, 100, 100, 98, 1620212, 1 
jump, 26, 24, 73, 72, 10, 11, 9, 9, 10, 0, 0, 100, 100, 100, 98, 68, 55, 74, 1621228, 2 
jump, 39, 29, 94, 88, 40, 26, 9, 6, 14, 0, 0, 100, 100, 100, 100, 69, 69, 96, 1622337, 3 
jump, 23, 30, 100, 100, 26, 17, 12, 7, 18, 0, 0, 100, 100, 100, 100, 80, 89, 100, 1623448, 4 
jump, 22, 24, 63, 68, 41, 19, 22, 11, 8, 0, 0, 100, 100, 100, 100, 89, 100, 100, 1624563, 5 
jump, 30, 26, 57, 49, 22, 21, 19, 16, 13, 0, 0, 100, 100, 100, 100, 91, 100, 100, 1625584, 6 
jump, 27, 35, 61, 35, 26, 11, 11, 16, 16, 0, 0, 100, 100, 100, 100, 86, 100, 100, 1626699, 7 
jump, 26, 30, 100, 70, 18, 9, 18, 24, 15, 0, 0, 100, 100, 100, 100, 74, 77, 100, 1627816, 8 
jump, 32, 35, 100, 80, 20, 15, 12, 16, 21, 0, 0, 100, 100, 100, 100, 66, 72, 100, 1628842, 9 
jump, 30, 22, 100, 69, 21, 14, 8, 8, 13, 0, 0, 100, 100, 100, 100, 60, 66, 100, 1629962, 10 
jump, 44, 38, 94, 62, 36, 17, 6, 11, 10, 0, 0, 100, 100, 100, 95, 60, 63, 100, 1630992, 11 
jump, 38, 32, 43, 43, 19, 13, 12, 7, 30, 0, 0, 100, 100, 100, 100, 74, 73, 90, 1632116, 12 
jump, 35, 36, 69, 61, 29, 16, 10, 18, 19, 0, 0, 100, 100, 100, 100, 85, 86, 85, 1633241, 13 
jump, 30, 30, 94, 86, 34, 38, 10, 11, 3, 0, 0, 100, 100, 100, 100, 100, 100, 87, 1634278, 14 
jump, 16, 23, 100, 66, 15, 18, 9, 7, 6, 0, 0, 100, 100, 100, 100, 100, 100, 83, 1635316, 15 
jump, 32, 31, 49, 54, 37, 31, 20, 20, 3, 0, 0, 100, 100, 100, 100, 99, 100, 73, 1636449, 16 
jump, 33, 26, 100, 92, 14, 12, 8, 10, 17, 0, 0, 100, 100, 100, 100, 100, 100, 73, 1637491, 17 
jump, 27, 32, 100, 100, 51, 24, 11, 6, 6, 0, 0, 100, 100, 100, 100, 100, 100, 68, 1638493, 18 
jump, 34, 28, 31, 40, 22, 20, 15, 9, 16, 0, 0, 100, 100, 100, 100, 100, 100, 76, 1639538, 19 
jump, 26, 26, 71, 89, 38, 23, 31, 24, 17, 0, 0, 100, 100, 100, 98, 100, 100, 79, 1640583, 20 
jump, 23, 19, 100, 100, 45, 10, 10, 13, 9, 0, 0, 100, 100, 100, 100, 100, 100, 83, 1641587, 21 
jump, 33, 36, 88, 80, 46, 14, 10, 13, 9, 0, 0, 100, 100, 100, 100, 100, 100, 82, 1642641, 22 
jump, 28, 33, 100, 100, 56, 10, 14, 23, 19, 0, 0, 100, 100, 100, 100, 100, 100, 83, 1643699, 23 
jump, 25, 22, 46, 25, 22, 35, 20, 14, 13, 0, 0, 100, 100, 100, 100, 100, 100, 83, 1644717, 24 
jump, 26, 29, 100, 79, 29, 27, 16, 9, 9, 0, 0, 100, 100, 100, 100, 100, 100, 72, 1645778, 25 
jump, 32, 35, 73, 60, 26, 11, 13, 13, 17, 0, 0, 100, 100, 100, 100, 100, 100, 73, 1646842, 26 
jump, 24, 29, 75, 68, 33, 9, 6, 9, 11, 0, 0, 100, 100, 100, 100, 95, 96, 72, 1647907, 27 
jump, 16, 18, 92, 71, 37, 41, 13, 17, 23, 0, 0, 100, 100, 100, 100, 92, 94, 79, 1648974, 28 
jump, 34, 42, 100, 100, 16, 21, 4, 20, 15, 0, 0, 100, 100, 100, 100, 88, 96, 99, 1650042, 29 
jump, 34, 37, 74, 39, 46, 21, 17, 17, 9, 0, 0, 100, 100, 100, 100, 91, 100, 100, 1651085, 30 
