CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
empty, 34, 28, 16, 9, 5, 1, 8, 2, 5, 0, 0, 95, 52, 20, 15, 14, 10, 11, 224478, 1 
empty, 32, 27, 3, 3, 4, 4, 7, 1, 6, 0, 0, 78, 25, 25, 16, 7, 8, 6, 225498, 2 
empty, 32, 23, 3, 7, 7, 3, 8, 1, 6, 0, 0, 88, 33, 29, 15, 6, 7, 6, 226519, 3 
empty, 31, 29, 15, 6, 5, 4, 9, 5, 8, 0, 0, 83, 35, 27, 16, 7, 9, 9, 227542, 4 
empty, 38, 28, 13, 15, 7, 1, 4, 2, 4, 0, 0, 83, 42, 27, 18, 9, 11, 11, 228607, 5 
empty, 30, 24, 8, 8, 2, 4, 4, 2, 7, 0, 0, 80, 50, 27, 17, 10, 11, 13, 229633, 6 
empty, 35, 26, 7, 4, 7, 3, 7, 3, 5, 0, 0, 71, 50, 25, 17, 12, 11, 14, 230660, 7 
empty, 30, 25, 4, 3, 4, 3, 8, 6, 8, 0, 0, 63, 52, 26, 17, 12, 11, 12, 231688, 8 
empty, 35, 29, 7, 4, 7, 6, 5, 2, 5, 0, 0, 49, 53, 24, 17, 11, 9, 11, 232759, 9 
empty, 44, 26, 4, 3, 3, 7, 3, 3, 5, 0, 0, 41, 49, 22, 19, 13, 10, 10, 233790, 10 
empty, 29, 28, 13, 3, 3, 3, 2, 2, 6, 0, 0, 51, 47, 23, 22, 15, 11, 11, 234858, 11 
empty, 37, 28, 6, 4, 6, 9, 2, 1, 6, 0, 0, 53, 42, 24, 24, 15, 12, 10, 235886, 12 
empty, 34, 26, 12, 4, 8, 5, 6, 2, 3, 0, 0, 62, 34, 23, 25, 15, 13, 10, 236914, 13 
empty, 28, 23, 16, 8, 4, 2, 5, 2, 3, 0, 0, 67, 31, 26, 24, 13, 11, 9, 237986, 14 
empty, 46, 40, 23, 7, 6, 3, 6, 1, 5, 0, 0, 70, 32, 25, 22, 11, 11, 10, 239017, 15 
empty, 28, 24, 12, 5, 4, 3, 4, 2, 3, 0, 0, 94, 37, 26, 20, 11, 10, 9, 240104, 16 
empty, 28, 21, 13, 4, 7, 3, 5, 2, 5, 0, 0, 100, 43, 23, 19, 10, 9, 7, 241217, 17 
empty, 24, 19, 5, 2, 7, 6, 3, 2, 6, 0, 0, 100, 42, 23, 19, 9, 9, 7, 242262, 18 
empty, 35, 29, 9, 5, 8, 3, 7, 3, 6, 0, 0, 92, 38, 22, 17, 8, 9, 6, 243288, 19 
empty, 39, 30, 11, 8, 3, 4, 3, 4, 5, 0, 0, 75, 38, 20, 16, 9, 12, 8, 244335, 20 
empty, 30, 23, 15, 5, 2, 3, 8, 3, 5, 0, 0, 59, 34, 19, 16, 10, 12, 9, 245367, 21 
empty, 41, 31, 11, 13, 8, 6, 6, 3, 5, 0, 0, 65, 35, 21, 16, 13, 13, 9, 246422, 22 
empty, 33, 27, 11, 6, 4, 7, 3, 2, 8, 0, 0, 72, 35, 22, 17, 12, 11, 9, 247514, 23 
empty, 44, 32, 3, 11, 2, 5, 6, 4, 4, 0, 0, 68, 34, 23, 19, 13, 11, 8, 248608, 24 
empty, 51, 36, 3, 4, 6, 3, 5, 4, 6, 0, 0, 65, 37, 25, 21, 13, 12, 8, 249664, 25 
empty, 31, 24, 9, 7, 3, 3, 4, 4, 7, 0, 0, 58, 36, 24, 22, 13, 12, 8, 250765, 26 
empty, 40, 37, 22, 9, 7, 5, 8, 1, 4, 0, 0, 54, 36, 26, 24, 14, 13, 10, 251865, 27 
empty, 37, 31, 15, 9, 3, 2, 6, 1, 2, 0, 0, 69, 33, 27, 24, 15, 11, 9, 252908, 28 
empty, 36, 25, 6, 10, 4, 2, 5, 2, 6, 0, 0, 68, 33, 27, 22, 14, 11, 9, 254048, 29 
empty, 33, 26, 5, 3, 2, 2, 8, 2, 3, 0, 0, 66, 32, 24, 19, 15, 11, 9, 255156, 30 
empty, 28, 24, 13, 3, 3, 6, 7, 1, 4, 0, 0, 55, 32, 22, 15, 14, 11, 8, 256264, 31 
empty, 34, 27, 9, 4, 4, 7, 3, 2, 6, 0, 0, 50, 29, 23, 18, 15, 10, 8, 257372, 32 
empty, 42, 34, 17, 9, 5, 5, 6, 1, 6, 0, 0, 48, 26, 24, 21, 14, 8, 7, 258480, 33 
empty, 28, 23, 23, 15, 4, 2, 9, 3, 2, 0, 0, 61, 33, 23, 21, 14, 8, 7, 259592, 34 
empty, 32, 32, 23, 13, 2, 5, 2, 2, 8, 0, 0, 62, 43, 26, 22, 15, 10, 8, 260702, 35 
empty, 33, 29, 5, 9, 9, 3, 6, 2, 7, 0, 0, 68, 50, 30, 21, 14, 11, 9, 261813, 36 
empty, 35, 25, 9, 8, 5, 2, 2, 2, 3, 0, 0, 58, 54, 32, 22, 13, 11, 9, 262929, 37 
empty, 39, 32, 10, 6, 3, 2, 6, 3, 3, 0, 0, 53, 51, 31, 19, 13, 11, 9, 264042, 38 
empty, 22, 19, 13, 11, 2, 2, 6, 4, 3, 0, 0, 48, 44, 28, 17, 13, 10, 9, 265162, 39 
empty, 18, 19, 3, 2, 3, 4, 7, 1, 4, 0, 0, 52, 43, 27, 16, 14, 11, 7, 266283, 40 
empty, 46, 32, 8, 4, 3, 2, 3, 3, 2, 0, 0, 48, 38, 24, 18, 14, 10, 7, 267405, 41 
empty, 32, 25, 5, 2, 3, 4, 8, 2, 1, 0, 0, 49, 34, 23, 22, 13, 10, 7, 268532, 42 
