CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
stand, 28, 26, 27, 41, 19, 11, 8, 8, 4, 0, 0, 100, 100, 100, 90, 94, 76, 43, 669612, 1 
stand, 32, 27, 8, 12, 2, 6, 5, 6, 9, 0, 0, 100, 100, 100, 77, 34, 37, 18, 670674, 2 
stand, 30, 23, 9, 10, 8, 16, 14, 13, 2, 0, 0, 100, 100, 100, 73, 51, 65, 37, 671736, 3 
stand, 27, 24, 45, 55, 11, 3, 11, 8, 8, 0, 0, 100, 100, 100, 74, 68, 75, 47, 672842, 4 
stand, 29, 37, 97, 70, 11, 11, 6, 6, 5, 0, 0, 100, 100, 100, 81, 75, 86, 54, 673907, 5 
stand, 27, 27, 86, 73, 18, 6, 7, 4, 8, 0, 0, 100, 100, 100, 84, 90, 96, 58, 674972, 6 
stand, 25, 21, 52, 41, 2, 11, 15, 6, 6, 0, 0, 100, 100, 100, 79, 88, 78, 37, 676041, 7 
stand, 19, 16, 58, 76, 28, 7, 8, 9, 2, 0, 0, 100, 100, 100, 82, 78, 61, 23, 677152, 8 
stand, 20, 20, 43, 45, 10, 3, 5, 7, 1, 0, 0, 100, 100, 100, 77, 67, 57, 22, 678222, 9 
stand, 29, 24, 18, 15, 10, 4, 5, 7, 5, 0, 0, 100, 100, 100, 69, 50, 43, 19, 679335, 10 
stand, 36, 30, 30, 21, 2, 12, 4, 1, 6, 0, 0, 100, 100, 100, 86, 36, 42, 23, 680410, 11 
stand, 38, 29, 21, 15, 10, 2, 5, 5, 4, 0, 0, 100, 100, 100, 66, 33, 44, 29, 681485, 12 
stand, 28, 21, 12, 13, 12, 9, 5, 8, 1, 0, 0, 100, 100, 100, 80, 38, 42, 33, 682602, 13 
stand, 31, 24, 22, 11, 6, 7, 5, 7, 7, 0, 0, 100, 100, 100, 73, 39, 49, 31, 683678, 14 
stand, 30, 23, 13, 12, 17, 8, 2, 7, 3, 0, 0, 100, 100, 100, 46, 34, 42, 23, 684802, 15 
stand, 39, 35, 73, 69, 14, 6, 8, 7, 3, 0, 0, 100, 100, 100, 53, 31, 36, 19, 685885, 16 
stand, 43, 31, 35, 28, 10, 1, 4, 1, 8, 0, 0, 100, 100, 100, 47, 38, 42, 20, 687011, 17 
stand, 30, 24, 43, 54, 19, 7, 9, 4, 2, 0, 0, 100, 100, 100, 68, 56, 46, 26, 688137, 18 
stand, 32, 20, 54, 57, 18, 9, 1, 5, 8, 0, 0, 100, 100, 100, 75, 73, 57, 30, 689225, 19 
stand, 39, 24, 35, 34, 13, 18, 13, 8, 5, 0, 0, 100, 100, 100, 78, 77, 64, 30, 690226, 20 
stand, 34, 23, 29, 36, 14, 7, 1, 3, 2, 0, 0, 100, 100, 100, 77, 68, 53, 30, 691314, 21 
stand, 22, 19, 50, 50, 10, 11, 2, 9, 3, 0, 0, 100, 100, 100, 62, 47, 43, 27, 692317, 22 
stand, 43, 34, 33, 30, 6, 2, 8, 9, 2, 0, 0, 100, 100, 100, 60, 40, 42, 28, 693327, 23 
stand, 35, 25, 69, 52, 6, 3, 5, 5, 5, 0, 0, 100, 100, 100, 53, 34, 37, 26, 694339, 24 
stand, 27, 25, 11, 8, 6, 5, 7, 7, 3, 0, 0, 100, 100, 100, 45, 35, 36, 27, 695442, 25 
stand, 33, 21, 21, 13, 12, 9, 5, 3, 6, 0, 0, 100, 100, 100, 43, 42, 42, 26, 696458, 26 
stand, 24, 19, 11, 12, 8, 6, 14, 16, 8, 0, 0, 100, 100, 100, 60, 54, 50, 30, 697473, 27 
stand, 35, 31, 52, 57, 13, 13, 8, 10, 11, 0, 0, 100, 100, 100, 75, 68, 73, 37, 698490, 28 
stand, 26, 20, 14, 12, 6, 8, 5, 6, 1, 0, 0, 100, 100, 100, 77, 68, 74, 32, 699512, 29 
stand, 38, 27, 14, 22, 21, 7, 7, 7, 5, 0, 0, 100, 100, 100, 76, 66, 74, 34, 700624, 30 
stand, 36, 27, 19, 34, 24, 13, 5, 7, 9, 0, 0, 100, 100, 100, 61, 51, 56, 29, 701652, 31 
stand, 39, 26, 21, 21, 11, 4, 9, 8, 6, 0, 0, 100, 100, 100, 57, 49, 47, 31, 702683, 32 
stand, 54, 32, 23, 18, 4, 3, 7, 5, 5, 0, 0, 100, 100, 100, 54, 50, 47, 33, 703714, 33 
stand, 32, 23, 42, 30, 8, 2, 2, 9, 6, 0, 0, 100, 100, 100, 66, 51, 66, 34, 704749, 34 
stand, 28, 23, 11, 25, 25, 7, 6, 9, 6, 0, 0, 100, 100, 100, 70, 54, 63, 31, 705784, 35 
stand, 28, 21, 13, 14, 6, 8, 3, 5, 6, 0, 0, 100, 100, 100, 72, 55, 74, 29, 706820, 36 
stand, 17, 17, 8, 8, 4, 4, 1, 5, 3, 0, 0, 100, 100, 100, 75, 49, 71, 27, 707855, 37 
stand, 29, 24, 35, 35, 12, 4, 4, 7, 6, 0, 0, 100, 100, 100, 62, 40, 45, 25, 708892, 38 
stand, 34, 26, 13, 8, 8, 8, 7, 5, 3, 0, 0, 100, 100, 100, 58, 28, 33, 16, 709932, 39 
stand, 31, 27, 29, 22, 17, 12, 7, 8, 5, 0, 0, 100, 100, 100, 72, 48, 29, 14, 710975, 40 
stand, 30, 21, 11, 18, 12, 2, 8, 7, 7, 0, 0, 100, 100, 100, 80, 57, 41, 17, 712020, 41 
stand, 41, 24, 35, 53, 26, 8, 12, 13, 10, 0, 0, 100, 100, 100, 82, 66, 53, 18, 713106, 42 
stand, 30, 23, 21, 22, 17, 6, 7, 7, 6, 0, 0, 100, 100, 100, 81, 78, 60, 23, 714152, 43 
stand, 19, 14, 12, 6, 8, 2, 5, 3, 3, 0, 0, 100, 100, 100, 59, 57, 56, 26, 715201, 44 
stand, 29, 22, 42, 55, 21, 8, 5, 9, 5, 0, 0, 100, 100, 100, 53, 51, 40, 25, 716252, 45 
stand, 30, 26, 36, 35, 15, 4, 5, 3, 9, 0, 0, 100, 100, 100, 48, 43, 45, 26, 717346, 46 
stand, 33, 27, 19, 14, 7, 8, 5, 5, 6, 0, 0, 100, 100, 100, 47, 48, 51, 36, 718440, 47 
stand, 36, 32, 79, 69, 6, 7, 11, 9, 3, 0, 0, 100, 100, 100, 54, 58, 59, 37, 719497, 48 
stand, 28, 27, 43, 41, 13, 12, 12, 16, 10, 0, 0, 100, 100, 100, 62, 76, 95, 48, 720556, 49 
stand, 36, 32, 52, 38, 27, 19, 11, 12, 9, 0, 0, 100, 100, 100, 78, 83, 98, 49, 721653, 50 
stand, 29, 24, 11, 56, 44, 23, 13, 5, 12, 0, 0, 100, 100, 100, 88, 96, 100, 45, 722714, 51 
stand, 23, 19, 85, 73, 22, 6, 14, 11, 10, 0, 0, 100, 100, 100, 97, 100, 100, 67, 723817, 52 
