CATEGORY, MOVE_1, MOVE_2, MOVE_3, MOVE_4, MOVE_5, MOVE_6, MOVE_7, MOVE_8, MOVE_9, STAT_1, STAT_2, STAT_3, STAT_4, STAT_5, STAT_6, STAT_7, STAT_8, STAT_9, TIME, ID 
squat, 31, 30, 60, 48, 9, 13, 16, 11, 6, 0, 0, 100, 100, 100, 100, 100, 100, 95, 2366165, 1 
squat, 36, 27, 42, 33, 23, 10, 7, 10, 9, 0, 0, 100, 100, 100, 98, 71, 50, 38, 2367167, 2 
squat, 28, 18, 28, 15, 6, 12, 15, 9, 4, 0, 0, 100, 100, 100, 91, 88, 73, 50, 2368169, 3 
squat, 31, 18, 59, 52, 31, 19, 12, 2, 9, 0, 0, 100, 100, 100, 99, 100, 87, 62, 2369171, 4 
squat, 21, 25, 100, 86, 15, 16, 21, 32, 11, 0, 0, 100, 100, 100, 100, 100, 100, 79, 2370217, 5 
squat, 28, 23, 9, 18, 23, 7, 7, 7, 9, 0, 0, 100, 100, 100, 99, 100, 100, 94, 2371222, 6 
squat, 37, 35, 79, 53, 20, 22, 16, 4, 6, 0, 0, 100, 100, 100, 98, 100, 100, 93, 2372228, 7 
squat, 33, 34, 100, 100, 15, 3, 23, 28, 22, 0, 0, 100, 100, 100, 97, 100, 100, 93, 2373278, 8 
squat, 28, 42, 67, 43, 16, 24, 12, 2, 18, 0, 0, 100, 100, 100, 94, 95, 100, 95, 2374288, 9 
squat, 33, 33, 83, 55, 13, 9, 11, 8, 5, 0, 0, 100, 100, 100, 100, 100, 100, 99, 2375300, 10 
squat, 43, 43, 62, 44, 17, 5, 10, 2, 9, 0, 0, 100, 100, 100, 100, 100, 100, 97, 2376355, 11 
squat, 23, 26, 40, 35, 10, 15, 30, 17, 14, 0, 0, 100, 100, 100, 100, 100, 100, 88, 2377370, 12 
squat, 34, 28, 43, 47, 26, 16, 4, 22, 22, 0, 0, 100, 100, 100, 98, 100, 100, 90, 2378429, 13 
squat, 30, 45, 100, 73, 16, 8, 7, 7, 9, 0, 0, 100, 100, 98, 80, 83, 100, 87, 2379450, 14 
squat, 30, 21, 18, 20, 20, 8, 13, 20, 9, 0, 0, 100, 100, 100, 75, 78, 100, 84, 2380513, 15 
squat, 32, 51, 100, 75, 27, 13, 17, 11, 2, 0, 0, 100, 100, 100, 86, 80, 100, 89, 2381538, 16 
squat, 43, 38, 9, 23, 13, 13, 5, 7, 3, 0, 0, 100, 100, 100, 90, 92, 100, 83, 2382605, 17 
squat, 36, 19, 76, 59, 17, 14, 19, 13, 4, 0, 0, 100, 100, 100, 89, 100, 100, 81, 2383673, 18 
squat, 35, 30, 36, 57, 25, 13, 17, 17, 13, 0, 0, 100, 100, 100, 92, 100, 100, 81, 2384702, 19 
squat, 29, 31, 91, 78, 13, 7, 12, 14, 9, 0, 0, 100, 100, 99, 85, 100, 100, 81, 2389564, 20 
squat, 36, 26, 54, 79, 51, 25, 25, 23, 5, 0, 0, 100, 100, 100, 100, 100, 100, 100, 2390583, 21 
